,Date,I_daily,DOC,POC
0,1995-05-09,51.73,2.0,2.0
1,1995-05-10,60.07785714285714,2.000380934886087,1.011101029546027
2,1995-05-11,68.42571428571429,2.0006948471184356,0.5096710239940512
3,1995-05-12,76.77357142857143,2.000940680823227,0.25626478287159005
4,1995-05-13,85.12142857142857,2.0011173681059007,0.12865239718828575
5,1995-05-14,93.46928571428572,2.001223829092468,0.06463478664625447
6,1995-05-15,101.81714285714285,2.00125897197981,0.03266219786755253
7,1995-05-16,110.16499999999999,2.0012216930953253,0.016783822319075443
8,1995-05-17,118.51285714285714,2.0011108769663317,0.008962333713446447
9,1995-05-18,126.8607142857143,2.0009253963996145,0.005161768694460688
10,1995-05-19,135.20857142857145,2.00066411257153,0.00336260391207693
11,1995-05-20,143.55642857142857,2.0003258751290933,0.002557986992513316
12,1995-05-21,151.90428571428572,1.9999095223024794,0.002247852675766617
13,1995-05-22,160.25214285714287,1.9994138810293753,0.00218484766061567
14,1995-05-23,168.6,1.998837767091647,0.0022471753097561167
15,1995-05-24,165.25,1.9982002065441977,0.0022805657974446143
16,1995-05-25,161.9,1.9975005528904115,0.0022994150570354545
17,1995-05-26,158.54999999999998,1.9967381568676028,0.0023106921265864037
18,1995-05-27,155.2,1.9959123665627208,0.0023177462829635388
19,1995-05-28,151.85,1.9950225275327746,0.002322167706042773
20,1995-05-29,148.5,1.9940679829300896,0.002324694007785377
21,1995-05-30,145.15,1.993048073632493,0.002325650494353078
22,1995-05-31,141.8,1.9919621383785382,0.002325163285322698
23,1995-06-01,138.45,1.9908095139078745,0.0023232621316743697
24,1995-06-02,135.1,1.9895895351068646,0.002319929844398299
25,1995-06-03,131.75,1.9883015351595639,0.002315125965838034
26,1995-06-04,128.4,1.986944845704163,0.0023087980561288107
27,1995-06-05,125.05,1.9855187969950066,0.0023008870447261474
28,1995-06-06,121.7,1.9840227180702934,0.0022913297476049245
29,1995-06-07,130.96666666666667,1.9824007623999154,0.002434621525565224
30,1995-06-08,140.23333333333335,1.980650509676306,0.0026582974838693183
31,1995-06-09,149.5,1.9787695108833665,0.002929096337868137
32,1995-06-10,158.76666666666668,1.976755288885096,0.003232146670246726
33,1995-06-11,168.03333333333333,1.9746053390771219,0.003561156967723378
34,1995-06-12,177.3,1.9723171301040838,0.0039138230691926745
35,1995-06-13,186.56666666666666,1.9698881046459105,0.004289693277113225
36,1995-06-14,195.83333333333334,1.967315680276106,0.004689183350389139
37,1995-06-15,205.10000000000002,1.9645972503952471,0.005113125759497376
38,1995-06-16,214.36666666666667,1.9617301852429707,0.005562565394277884
39,1995-06-17,223.63333333333333,1.9587118329918107,0.006038668121550909
40,1995-06-18,232.9,1.955539520926315,0.006542680626592051
41,1995-06-19,242.16666666666669,1.9522105567109482,0.007075913382294685
42,1995-06-20,251.43333333333334,1.948722229750361,0.007639733969769508
43,1995-06-21,260.7,1.9450718126456612,0.008235564999750016
44,1995-06-22,247.52866666666665,1.9415554427388457,0.008090229056232528
45,1995-06-23,234.35733333333332,1.938170326082666,0.007667293535380608
46,1995-06-24,221.18599999999998,1.934913741534833,0.007148642287655807
47,1995-06-25,208.01466666666664,1.9317830384595471,0.006605919286099415
48,1995-06-26,194.8433333333333,1.9287756345128677,0.006067291660398549
49,1995-06-27,181.67199999999997,1.9258890135084967,0.005543654623188289
50,1995-06-28,168.50066666666666,1.9231207233607062,0.005038996786959367
51,1995-06-29,155.32933333333332,1.9204683741012878,0.004554531141895467
52,1995-06-30,142.158,1.9179296359675324,0.004090353504593092
53,1995-07-01,128.98666666666665,1.9155022375583945,0.003646113038893922
54,1995-07-02,115.81533333333331,1.9131839640561117,0.0032212851540171137
55,1995-07-03,102.64399999999998,1.910972655510674,0.002815283223495891
56,1995-07-04,89.47266666666667,1.9088662051846526,0.0024275045130524174
57,1995-07-05,76.30133333333333,1.906862557956003,0.002057349070968299
58,1995-07-06,63.13,1.9049597087765664,0.0017042274340783232
59,1995-07-07,80.11916666666667,1.9029911757230973,0.0017834683895269776
60,1995-07-08,97.10833333333333,1.9009564678560151,0.0020636942302818084
61,1995-07-09,114.0975,1.8988550959664217,0.0024421029126389052
62,1995-07-10,131.08666666666667,1.896686572748349,0.0028733549340989057
63,1995-07-11,148.07583333333332,1.894450412975089,0.0033376881035708083
64,1995-07-12,165.065,1.8921461336796483,0.0038266800935109735
65,1995-07-13,182.05416666666667,1.8897732543393688,0.00433691782692057
66,1995-07-14,199.04333333333332,1.8873312970647487,0.004867194655773481
67,1995-07-15,216.0325,1.884819786792506,0.005417274869821187
68,1995-07-16,233.02166666666665,1.8822382514829168,0.005987351543064378
69,1995-07-17,250.01083333333332,1.8795862223214634,0.006577809748816574
70,1995-07-18,267.0,1.876863233924823,0.007189123670836653
71,1995-07-19,265.24,1.8741412262906243,0.007424218547703689
72,1995-07-20,263.48,1.871420210168917,0.007502274331698551
73,1995-07-21,261.72,1.8687001962919385,0.007514754251405698
74,1995-07-22,259.96,1.8659811953740055,0.007499803567247622
75,1995-07-23,258.2,1.8632632181114055,0.007473321626446579
76,1995-07-24,256.44,1.8605462751822868,0.0074419314235001045
77,1995-07-25,254.68,1.8578303772465519,0.007408390021018176
78,1995-07-26,252.92,1.8551155349457473,0.0073738442784484414
79,1995-07-27,251.16,1.8524017589029576,0.007338770775027764
80,1995-07-28,249.4,1.8496890597226958,0.007303367233128989
81,1995-07-29,247.64,1.8469774479907966,0.007267715429035257
82,1995-07-30,245.88,1.8442669342743088,0.007231848957249973
83,1995-07-31,244.12,1.8415575291213884,0.007195781401342071
